author,quote,quote_words,quote_compound,quote_positive,quote_negative,tags,tags_words
Oscar Wilde,Be yourself; everyone else is already taken.,everyone else already taken,0.0,0.0,0.0,"['be-yourself', 'honesty', 'inspirational']","be-yourself,honesty,inspirational"
William W. Purkey,You've gotta dance like there's nobody watching,gotta dance like there's nobody watching,0.3612,0.333,0.0,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']","dance,heaven,hurt,inspirational,life,love,sing"
Mahatma Gandhi,Be the change that you wish to see in the world.,change wish see world,0.4019,0.474,0.0,"['action', 'change', 'inspirational', 'philosophy', 'wish']","action,change,inspirational,philosophy,wish"
Eleanor Roosevelt,No one can make you feel inferior without your consent.,one make feel inferior without consent,-0.5213,0.0,0.522,"['confidence', 'inspirational', 'wisdom']","confidence,inspirational,wisdom"
Mahatma Gandhi,Live as if you were to die tomorrow. Learn as if you were to live forever.,Live die tomorrow Learn live forever,-0.5994,0.0,0.438,"['carpe-diem', 'education', 'inspirational', 'learning']","carpe-diem,education,inspirational,learning"
Martin Luther King Jr.,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Darkness cannot drive darkness light Hate cannot drive hate love,-0.652,0.252,0.482,"['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']","darkness,drive-out,hate,inspirational,light,love,peace"
Friedrich Nietzsche,"Without music, life would be a mistake.",Without music life would mistake,-0.34,0.0,0.375,"['inspirational', 'music', 'philosophy']","inspirational,music,philosophy"
Stephen Chbosky,We accept the love we think we deserve.,accept love think deserve,0.7783,0.773,0.0,"['inspirational', 'love']","inspirational,love"
Marilyn Monroe,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Imperfection beauty madness genius better absolutely ridiculous absolutely boring,-0.2143,0.348,0.444,"['be-yourself', 'inspirational']","be-yourself,inspirational"
Albert Einstein,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,two ways live life One though nothing miracle though everything miracle,-0.7306,0.0,0.406,"['inspirational', 'life', 'live', 'miracle', 'miracles']","inspirational,life,live,miracle,miracles"
Oscar Wilde,"We are all in the gutter, but some of us are looking at the stars.",gutter us looking stars,0.0,0.0,0.0,"['inspirational', 'optimism', 'perception', 'pessimism']","inspirational,optimism,perception,pessimism"
Neil Gaiman,"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",Fairy tales true tell us dragons exist tell us dragons beaten,0.0,0.192,0.192,"['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']","books,dragons,fairy-tales,inspirational,paraphrasing-g-k-chesterton"
Bill Keane,"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Yesterday history tomorrow mystery today gift God call present,0.6124,0.417,0.0,"['hope', 'inspirational', 'past', 'present']","hope,inspirational,past,present"
